wage,education,age,experience
36.19,16.0,25.0,6.0
46.91,17.0,26.0,28.0
25.04,8.0,25.2,0.0
51.45,17.0,47.7,11.0
33.83,13.0,34.4,2.0
40.36,14.0,28.3,26.0
46.27,15.0,26.6,19.0
35.76,11.0,42.2,12.0
54.53,19.0,27.5,23.0
28.83,8.0,25.3,11.0
37.83,11.0,44.1,13.0
32.88,12.0,26.0,10.0
46.63,14.0,34.8,22.0
37.44,12.0,37.9,1.0
34.36,9.0,33.5,16.0
34.29,8.0,37.5,8.0
50.28,8.0,51.4,29.0
28.62,8.0,32.8,6.0
27.07,9.0,25.4,11.0
36.62,19.0,19.6,1.0
32.23,10.0,36.0,14.0
42.33,15.0,34.5,16.0
49.34,17.0,40.7,22.0
31.24,10.0,33.4,13.0
35.85,11.0,33.2,7.0
25.91,13.0,30.8,0.0
38.18,11.0,32.8,27.0
53.03,19.0,39.6,4.0
42.57,10.0,34.2,23.0
56.07,18.0,39.0,27.0
52.57,17.0,57.0,9.0
51.75,18.0,42.8,4.0
34.77,9.0,22.2,20.0
44.22,12.0,55.3,11.0
36.66,15.0,41.5,1.0
44.06,13.0,28.6,28.0
50.23,15.0,47.1,27.0
39.54,16.0,38.2,3.0
43.3,15.0,31.8,21.0
31.18,8.0,31.7,12.0
41.34,19.0,28.1,1.0
49.76,14.0,38.5,24.0
52.63,18.0,48.7,25.0
31.4,11.0,34.7,0.0
42.44,12.0,42.2,3.0
49.96,18.0,56.8,2.0
42.57,10.0,25.9,28.0
43.39,8.0,40.6,27.0
47.42,12.0,34.9,25.0
47.43,16.0,27.4,20.0
23.47,9.0,27.7,2.0
45.34,18.0,37.8,7.0
40.55,12.0,42.3,15.0
30.76,10.0,32.7,14.0
37.36,14.0,38.5,3.0
44.61,18.0,45.2,7.0
47.3,18.0,41.0,20.0
57.04,18.0,46.7,26.0
35.35,11.0,42.6,3.0
39.01,8.0,42.9,28.0
48.14,17.0,56.3,9.0
41.44,16.0,44.2,2.0
51.91,17.0,39.3,27.0
35.31,8.0,45.1,15.0
33.08,8.0,28.8,19.0
37.07,14.0,34.6,5.0
48.73,12.0,45.9,27.0
44.16,13.0,44.3,12.0
55.02,19.0,53.5,11.0
38.24,10.0,38.1,22.0
39.97,14.0,23.4,22.0
48.45,11.0,57.5,21.0
38.38,11.0,48.9,7.0
40.59,17.0,27.4,5.0
32.96,9.0,51.8,16.0
28.49,11.0,38.3,9.0
25.88,9.0,19.9,1.0
34.43,9.0,33.8,12.0
44.75,11.0,32.9,23.0
51.73,16.0,53.9,11.0
40.5,14.0,30.1,12.0
43.2,13.0,35.5,20.0
37.88,10.0,35.2,29.0
52.61,17.0,34.2,23.0
38.96,17.0,28.9,4.0
37.57,10.0,40.2,10.0
38.64,8.0,48.8,16.0
40.78,11.0,44.2,13.0
32.19,9.0,28.7,6.0
37.78,17.0,26.5,2.0
44.2,14.0,39.2,19.0
37.1,14.0,30.9,11.0
33.48,11.0,31.7,9.0
48.56,14.0,21.2,28.0
59.26,19.0,57.5,24.0
43.72,10.0,47.2,15.0
52.27,17.0,28.3,27.0
39.72,8.0,47.1,16.0
50.13,11.0,51.4,27.0
41.89,19.0,14.1,18.0
46.87,18.0,32.5,10.0
40.3,9.0,34.1,17.0
51.26,18.0,44.5,20.0
52.5,18.0,36.8,24.0
44.74,13.0,35.7,29.0
37.97,12.0,37.4,7.0
48.41,19.0,56.5,3.0
59.81,19.0,59.6,9.0
44.51,16.0,32.8,17.0
37.38,12.0,28.7,26.0
55.64,10.0,64.9,27.0
50.47,19.0,28.2,14.0
33.15,11.0,32.3,1.0
50.32,14.0,38.4,28.0
43.17,16.0,42.8,6.0
35.42,10.0,48.3,4.0
38.64,11.0,41.9,6.0
49.74,16.0,29.3,23.0
41.73,10.0,43.1,15.0
47.39,16.0,40.5,14.0
53.14,19.0,56.8,10.0
45.39,16.0,37.9,14.0
46.61,15.0,24.6,21.0
47.47,13.0,27.5,26.0
59.43,19.0,52.5,28.0
29.55,10.0,32.6,3.0
40.64,12.0,17.0,22.0
45.33,15.0,32.2,15.0
45.39,15.0,38.0,11.0
32.33,9.0,49.9,7.0
26.15,9.0,27.9,1.0
44.87,16.0,44.7,10.0
48.82,18.0,46.0,6.0
41.35,15.0,31.0,24.0
58.55,19.0,36.1,26.0
45.01,12.0,55.7,11.0
43.76,11.0,55.2,11.0
50.13,17.0,46.6,23.0
30.91,8.0,41.3,4.0
38.82,10.0,49.4,0.0
28.67,10.0,36.6,6.0
46.62,12.0,37.0,29.0
34.62,9.0,29.4,13.0
51.05,17.0,38.1,28.0
46.0,18.0,37.2,1.0
49.72,12.0,65.7,20.0
34.32,8.0,36.1,7.0
47.79,16.0,50.7,5.0
42.13,9.0,51.2,19.0
51.96,15.0,36.1,19.0
