spending,income,education_years
43428.0,107246.0,9.0
47907.0,190588.0,19.0
15081.0,37390.0,13.0
34590.0,190243.0,12.0
19843.0,69248.0,16.0
10955.0,90432.0,11.0
62332.0,167263.0,15.0
15899.0,87748.0,18.0
24304.0,114423.0,17.0
9130.0,15236.0,9.0
57041.0,153167.0,19.0
29325.0,112247.0,16.0
4158.0,72649.0,16.0
55030.0,159801.0,10.0
29034.0,67607.0,19.0
9668.0,96165.0,12.0
22465.0,35468.0,19.0
17541.0,86591.0,10.0
8445.0,48656.0,9.0
24819.0,59840.0,18.0
41558.0,152569.0,15.0
23743.0,63278.0,12.0
10434.0,102186.0,19.0
111957.0,196340.0,19.0
34758.0,192715.0,8.0
10314.0,147710.0,15.0
47182.0,112833.0,17.0
20320.0,62609.0,16.0
19606.0,40524.0,15.0
45674.0,194286.0,14.0
33045.0,108053.0,14.0
14684.0,32014.0,11.0
22228.0,128463.0,9.0
61435.0,157570.0,12.0
30703.0,126471.0,16.0
31531.0,184287.0,19.0
14083.0,17523.0,19.0
39980.0,110432.0,10.0
24976.0,97274.0,8.0
12135.0,21846.0,19.0
53221.0,131852.0,16.0
6084.0,172000.0,17.0
20198.0,122659.0,17.0
21207.0,59419.0,12.0
16774.0,169577.0,18.0
34650.0,106804.0,15.0
33386.0,107069.0,15.0
64905.0,153076.0,12.0
10298.0,38105.0,12.0
31873.0,165729.0,12.0
49944.0,139825.0,16.0
-11928.0,159548.0,14.0
37181.0,46407.0,8.0
27588.0,162449.0,8.0
11514.0,46352.0,10.0
16167.0,25495.0,13.0
49593.0,172493.0,15.0
6563.0,173644.0,19.0
69237.0,176542.0,17.0
43203.0,99663.0,11.0
18328.0,62069.0,14.0
10358.0,11347.0,16.0
51844.0,132687.0,18.0
23187.0,146783.0,13.0
61287.0,168758.0,16.0
22789.0,63557.0,10.0
14071.0,50891.0,13.0
14415.0,131473.0,18.0
41225.0,162960.0,12.0
26918.0,193097.0,8.0
23948.0,38600.0,17.0
33101.0,101620.0,11.0
72615.0,179996.0,13.0
33903.0,90316.0,19.0
41313.0,122005.0,12.0
7442.0,14653.0,11.0
53314.0,137957.0,10.0
104582.0,184627.0,18.0
39012.0,167097.0,10.0
36213.0,178249.0,15.0
35660.0,135468.0,10.0
18574.0,56655.0,17.0
30588.0,156018.0,16.0
21096.0,50218.0,15.0
41157.0,167942.0,13.0
16209.0,21916.0,12.0
51216.0,166843.0,19.0
20819.0,41256.0,17.0
37926.0,81278.0,12.0
18379.0,70180.0,8.0
70302.0,141354.0,9.0
13313.0,43929.0,13.0
17481.0,85289.0,13.0
8166.0,11107.0,12.0
23438.0,59874.0,19.0
10083.0,90026.0,13.0
15873.0,30125.0,17.0
4484.0,130300.0,9.0
43752.0,82281.0,12.0
40156.0,147806.0,10.0
25133.0,134235.0,9.0
17457.0,91933.0,14.0
38118.0,174791.0,9.0
34173.0,130106.0,12.0
23301.0,163952.0,16.0
16896.0,74941.0,17.0
32143.0,113297.0,14.0
15629.0,47296.0,15.0
83390.0,199267.0,11.0
32647.0,56211.0,18.0
19843.0,58805.0,10.0
15675.0,23906.0,16.0
7433.0,58983.0,9.0
61068.0,154994.0,15.0
40496.0,142600.0,11.0
16616.0,34448.0,11.0
45932.0,81485.0,12.0
211.0,89975.0,17.0
47924.0,136347.0,17.0
13726.0,96627.0,11.0
48147.0,121438.0,14.0
12986.0,169540.0,8.0
35007.0,148030.0,18.0
31751.0,79351.0,19.0
38559.0,95195.0,12.0
27862.0,79863.0,14.0
11044.0,30850.0,14.0
16617.0,48616.0,17.0
28462.0,63923.0,8.0
24364.0,69685.0,14.0
8821.0,69479.0,18.0
52525.0,119573.0,15.0
67807.0,194621.0,14.0
63890.0,157186.0,8.0
41484.0,160315.0,19.0
62728.0,154261.0,10.0
17212.0,123428.0,12.0
69853.0,184362.0,16.0
31384.0,141030.0,13.0
43895.0,105068.0,14.0
17379.0,24646.0,15.0
18852.0,102805.0,9.0
16222.0,50438.0,8.0
18509.0,35212.0,19.0
53981.0,106152.0,17.0
61256.0,159166.0,9.0
12433.0,66051.0,16.0
56729.0,156067.0,14.0
47747.0,109870.0,16.0
26287.0,38319.0,9.0
