output,input_level,control
-0.204,0.856,6.05
-0.226,2.368,6.702
62.55,8.013,5.018
33.438,5.822,5.665
-2.032,0.941,5.232
15.426,4.331,5.277
24.708,4.791,1.948
1.211,1.597,4.084
49.957,7.346,5.223
0.207,1.137,3.434
17.004,3.912,4.047
26.074,5.167,3.362
20.247,4.306,4.333
36.135,5.868,6.706
54.412,7.378,4.187
88.839,9.563,4.692
4.16,2.842,6.627
40.864,6.485,6.29
48.039,6.962,8.39
10.697,2.927,0.819
-0.262,0.015,6.714
93.858,9.735,4.035
8.87,2.984,5.269
7.578,3.14,6.675
77.28,8.917,7.167
30.118,5.852,7.079
18.414,4.713,5.31
56.722,7.733,8.219
-2.34,0.303,4.434
47.703,7.07,4.718
14.049,3.742,6.599
0.663,0.909,3.897
46.793,6.605,9.322
87.096,9.315,7.038
0.351,2.072,9.351
40.784,6.301,4.947
9.487,2.982,4.234
52.982,7.418,5.334
53.123,7.222,6.469
3.32,2.187,3.825
61.875,8.299,5.759
44.356,6.577,4.966
43.271,6.828,8.231
70.387,8.201,3.675
15.522,4.286,7.092
55.345,7.587,3.712
80.73,8.785,3.079
-0.894,1.023,3.579
73.308,8.498,2.62
17.771,3.939,5.293
21.707,4.797,7.063
1.316,1.463,5.329
47.86,6.984,6.249
8.071,2.92,8.264
73.505,8.711,5.54
8.109,2.754,5.39
32.492,5.618,4.45
21.746,3.997,1.784
35.633,6.129,6.519
3.293,1.966,1.487
3.569,1.803,6.305
54.5,7.469,4.971
55.535,7.522,7.254
31.979,5.67,4.864
87.499,9.211,3.354
2.063,2.058,5.716
72.279,8.509,3.88
-2.568,1.69,4.638
90.676,9.644,5.084
41.606,6.237,4.731
35.157,6.069,4.622
93.128,9.706,3.335
59.195,7.87,4.622
65.195,7.899,0.723
0.306,0.541,4.685
11.962,3.693,2.604
0.435,0.849,7.241
2.496,1.935,7.54
7.533,2.139,1.098
71.799,8.586,5.29
4.709,1.268,4.747
10.173,2.968,2.907
23.024,4.928,6.063
71.082,8.495,4.077
93.945,9.652,1.465
51.631,7.081,4.467
3.677,2.137,4.703
31.25,5.45,5.213
51.73,7.06,2.538
1.846,0.519,6.231
46.617,6.799,6.471
14.083,3.683,2.708
31.115,5.897,3.682
45.005,6.695,4.839
46.417,6.691,3.868
25.44,5.23,8.488
31.178,5.547,5.417
3.494,1.981,2.979
24.048,4.952,3.424
-0.755,1.254,4.885
23.04,4.807,9.592
28.751,5.362,4.643
58.311,7.741,5.255
11.819,3.937,6.028
-0.728,0.196,4.92
27.957,5.277,9.561
5.167,2.052,3.937
52.253,7.413,6.488
17.307,3.887,5.321
16.212,3.805,6.242
85.349,9.095,2.647
14.752,3.93,8.536
14.103,3.489,4.757
12.664,3.48,5.068
25.099,4.808,3.13
-0.46,0.933,3.541
31.828,5.467,6.128
83.879,9.214,6.973
34.483,5.629,6.507
49.547,7.439,7.418
89.904,9.471,6.429
72.35,8.421,5.057
53.332,7.44,6.673
65.935,8.132,6.187
68.36,8.201,4.799
6.368,2.538,6.452
20.364,4.82,7.571
10.727,3.427,5.469
8.745,2.617,4.288
34.003,5.716,6.437
7.902,3.179,8.801
38.138,6.187,4.579
33.914,5.824,4.815
2.802,1.044,4.727
15.742,4.424,7.446
13.878,3.899,1.326
49.319,7.067,5.732
-3.129,0.881,7.385
1.994,1.69,3.373
24.459,5.126,7.978
16.299,4.046,6.071
42.173,6.653,3.902
11.978,3.329,5.408
1.377,1.972,1.931
87.99,9.318,3.869
0.466,2.439,8.654
0.007,1.471,3.212
6.774,2.799,8.689
10.31,3.397,4.837
1.982,2.251,6.989
