growth,gdp,trade,investment
842.0,53781.0,31571.0,17914.0
3820.0,39545.0,23941.0,13020.0
-2447.0,41739.0,24599.0,12491.0
-1022.0,1171.0,459.0,5806.0
-11.0,85994.0,51609.0,17671.0
-1405.0,72883.0,43571.0,16719.0
-1589.0,43492.0,26227.0,7346.0
-404.0,65476.0,39660.0,9768.0
2597.0,55624.0,33701.0,5020.0
564.0,38924.0,23310.0,17336.0
435.0,69551.0,41049.0,12032.0
2194.0,43789.0,25871.0,9525.0
1550.0,43424.0,25956.0,12035.0
359.0,34157.0,19433.0,12203.0
2030.0,59099.0,35836.0,7943.0
-658.0,48016.0,28690.0,3792.0
2509.0,60906.0,36418.0,3581.0
1704.0,37856.0,23188.0,1308.0
349.0,52537.0,31856.0,12306.0
-1585.0,32155.0,19403.0,21093.0
4392.0,66829.0,39597.0,1505.0
1371.0,53761.0,32412.0,10691.0
7355.0,56611.0,34140.0,12055.0
-92.0,58210.0,34484.0,5077.0
2412.0,29785.0,18393.0,11022.0
490.0,65664.0,39652.0,4515.0
2490.0,91134.0,53696.0,16002.0
2082.0,17231.0,10400.0,7029.0
-1185.0,15412.0,8615.0,10503.0
332.0,19903.0,12510.0,13421.0
1737.0,66829.0,40501.0,7851.0
1289.0,52574.0,30993.0,1044.0
2698.0,71567.0,42498.0,7344.0
3478.0,64449.0,38720.0,13815.0
2847.0,54211.0,32407.0,9577.0
1751.0,55681.0,34171.0,11149.0
283.0,46605.0,28333.0,4598.0
-805.0,67369.0,40280.0,10716.0
-786.0,27406.0,16732.0,13641.0
-124.0,41563.0,23922.0,10182.0
2658.0,54859.0,33070.0,19540.0
1083.0,86028.0,52050.0,8961.0
-1743.0,34711.0,20737.0,4793.0
1840.0,28419.0,16696.0,1912.0
-674.0,38734.0,23523.0,15760.0
-47.0,69385.0,42611.0,9705.0
604.0,45300.0,27282.0,15058.0
2599.0,76487.0,45332.0,12288.0
-4394.0,12549.0,8253.0,18125.0
-628.0,72570.0,42603.0,16331.0
1846.0,70697.0,42670.0,8112.0
-182.0,21627.0,12685.0,11369.0
-513.0,53072.0,32308.0,15427.0
442.0,74315.0,44164.0,3820.0
3978.0,51758.0,31717.0,17254.0
649.0,69994.0,42147.0,16060.0
3524.0,97498.0,57635.0,14915.0
2783.0,55479.0,32300.0,8995.0
103.0,44392.0,26477.0,11511.0
1623.0,34579.0,21394.0,4414.0
462.0,62961.0,37840.0,10290.0
-229.0,46065.0,27673.0,7063.0
-1219.0,46425.0,27737.0,10433.0
2783.0,47895.0,29106.0,7527.0
578.0,62997.0,37987.0,11419.0
-372.0,28673.0,17344.0,15897.0
-1832.0,19402.0,11149.0,3452.0
3790.0,1322.0,1387.0,14627.0
2963.0,73973.0,45066.0,41.0
756.0,51476.0,30235.0,-805.0
309.0,80202.0,49272.0,9403.0
-1963.0,49821.0,30254.0,10034.0
1409.0,35157.0,20850.0,12214.0
1786.0,59559.0,34783.0,1763.0
-1750.0,48468.0,29409.0,9700.0
2928.0,24916.0,15229.0,10633.0
2361.0,32299.0,19081.0,16276.0
-123.0,85336.0,50306.0,9481.0
157.0,57087.0,34814.0,12645.0
363.0,58328.0,34702.0,5113.0
1301.0,44469.0,26446.0,9062.0
511.0,36206.0,23146.0,7772.0
-1786.0,67833.0,41764.0,13517.0
3957.0,47907.0,29221.0,5056.0
1387.0,34818.0,20663.0,5828.0
3597.0,47317.0,28715.0,12880.0
3337.0,31888.0,17992.0,18947.0
779.0,53801.0,32334.0,11914.0
2251.0,72585.0,43171.0,11518.0
2222.0,33278.0,19324.0,8269.0
3265.0,78571.0,46351.0,15442.0
532.0,36648.0,22251.0,12700.0
12.0,53068.0,31886.0,18666.0
853.0,33272.0,20043.0,11654.0
-639.0,45555.0,27754.0,5257.0
-21.0,50948.0,30146.0,7150.0
-3184.0,41306.0,24166.0,5063.0
924.0,35942.0,20677.0,3746.0
-1162.0,36442.0,21698.0,16319.0
-300.0,33577.0,20526.0,14037.0
305.0,18598.0,11084.0,3807.0
1712.0,44741.0,27165.0,18907.0
5051.0,58023.0,34223.0,11223.0
1824.0,68168.0,40666.0,5216.0
-1448.0,62942.0,37382.0,11931.0
2341.0,99147.0,58864.0,9654.0
-3.0,56374.0,34754.0,6137.0
1619.0,40873.0,24950.0,285.0
479.0,87433.0,52079.0,10184.0
-721.0,29056.0,17050.0,11460.0
336.0,69370.0,41593.0,-2895.0
-509.0,30897.0,17817.0,12775.0
-2377.0,57082.0,34467.0,13088.0
-1047.0,10632.0,5732.0,7651.0
1437.0,67985.0,40606.0,10561.0
3424.0,46835.0,27589.0,8597.0
85.0,30646.0,18148.0,5814.0
1010.0,83568.0,49475.0,8200.0
2633.0,65307.0,38398.0,16758.0
2125.0,50916.0,30067.0,2747.0
4013.0,35091.0,20715.0,11186.0
2262.0,49133.0,29332.0,10921.0
960.0,46721.0,28067.0,6462.0
4045.0,64496.0,39461.0,7798.0
4408.0,65962.0,39983.0,2998.0
-160.0,36645.0,21860.0,5740.0
1197.0,39013.0,23771.0,10075.0
-2458.0,39359.0,23271.0,11634.0
-213.0,23014.0,14532.0,5508.0
-751.0,38169.0,23176.0,25282.0
606.0,48152.0,28213.0,7148.0
419.0,63819.0,38669.0,10637.0
1285.0,76408.0,46253.0,8847.0
551.0,33833.0,18957.0,8001.0
2372.0,61020.0,36238.0,16505.0
1360.0,41111.0,24430.0,7606.0
873.0,91504.0,53938.0,16672.0
-1441.0,49026.0,28882.0,15709.0
3718.0,60043.0,35551.0,4772.0
3612.0,31277.0,19020.0,15177.0
-166.0,33786.0,20422.0,6748.0
2440.0,54034.0,33733.0,23682.0
-2125.0,42319.0,25194.0,8071.0
-1930.0,57066.0,34816.0,5295.0
-160.0,18764.0,11298.0,445.0
4244.0,63240.0,38080.0,3535.0
-1382.0,32010.0,18626.0,7097.0
71.0,84448.0,49714.0,5010.0
4138.0,44231.0,26155.0,3857.0
-2283.0,71945.0,43548.0,6523.0
